Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Mauritius,44.08,10.95,28.55,45.61,33.44,29.62,2022
Chile,43.9,13.51,29.66,38.87,43.26,33.27,2022
Guatemala,43.49,15.6,30.42,41.92,32.59,26.35,2022
Thailand,43.21,14.69,29.84,45.15,22.59,31.56,2022
Venezuela,43.2,9.99,27.63,37.34,46.23,15.41,2022
Fiji,43.16,17.76,31.26,48.06,37.42,35.87,2022
South Africa,42.09,16.6,30.14,34.78,41.33,78.36,2022
Dominican Republic,41.77,9.59,26.68,38.45,34.3,21.07,2022
China,41.77,16.53,29.93,46.01,28.37,59.99,2022
Hungary,40.66,11.91,27.18,35.19,32.82,51.98,2022
Honduras,40.46,10.28,26.31,34.73,28.67,32.09,2022
Botswana,40.17,10.21,26.12,35.16,42.5,62.63,2022
Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63,2022
Cameroon,39.48,6.91,24.22,40.41,26.33,15.37,2022
Poland,38.95,14.45,27.46,32.42,33.52,59.95,2022
Montenegro,38.95,12.87,26.72,31.76,33.22,34.19,2022
Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96,2022
Vietnam,37.48,13.22,26.11,38.7,19.98,29.38,2022
Iran,37.39,17.05,27.85,29.46,25.18,17.98,2022
Ecuador,37.34,11.28,25.12,34.49,28.55,31.76,2022
Philippines,37.06,9.59,24.18,37.84,20.61,21.47,2022
Malaysia,37.02,9.87,24.29,39.45,20.84,55.3,2022
Serbia,36.21,8.73,23.33,28.18,29.24,37.83,2022
Ghana,36.2,19.31,28.28,37.53,30.06,16.82,2022
Bosnia And Herzegovina,36.12,6.82,22.39,31.14,25.34,44.1,2022
Indonesia,35.85,9.82,23.65,38.29,17.74,21.07,2022
Myanmar,35.67,21.18,28.87,37.63,20,13.84,2022
Albania,35.5,8.47,22.83,29.32,25.82,30.19,2022
Mexico,35.35,12.55,24.66,34.82,32.67,38.62,2022
Russia,35.26,13.09,24.87,29.86,34.56,37.41,2022
Romania,35.24,10.17,23.49,31.38,30.02,48.12,2022
Bolivia,34.77,10.18,23.24,31.26,24.97,36.04,2022
Mongolia,34.74,11.22,23.72,36.14,22.8,24.34,2022
